tag ,msg
spam,You have been chosen by me to be my assistant. You will have the chance to make a lot of money
good,"Hello! when will you send the money, im home at 9."
good,Hi! do you want thai food today? i will need 50 dollars.
spam,"Hey man sorry if this is kinda random for you, there is someone who is pretending to be you and using your profile to scam everyone and i got scammed as well i lost my M9 Bayonet Doppler worth $590 by him there is something important you should know with this huge problem"
spam,"Hi bro, this game is already fucked up and I decided to give one piece of clothing to choose from from my inventory. Throw a trade: "
good,this is a generic normal message I am sending you that is not a scam
spam,"free discord nitro, click this link to get free discord nitro."
good,"i feel that i want too eat thai today, should we eat at the new place"
spam,"hello sir, i want to inform you that you have won our competition and your prize is a new phone and 100 dollars. just click this link"
spam,"good day sir! i have 1000000 dollars that i need to get to the usa. if you help me i you can have 20% of the money"
spam,"are you low on money? we can help you, get a loan today!"
good,"sir, i am afraid i can't come to work today, i caught covid"
good,"i got discord nitro today, I now can use cool gifs as profile pic"
good,"So i took a walk earlier, and i had a conversation with a deer"
good,"you like whispered it in-between your nose holes"
good,"we can work around your dentist appointment at 13th december"
spam,"Hello can we talk for a moment can i ask you if this your steam acc?"
spam,"Congratulations! Come and join the latest Discord application! We are very happy to announce that Discord has started the new Job Application season! Once Your Application is Approved, You will have a special profile badge and a panel on your profile! You can apply to participate in the application here: This season won't last forever hurry up! We are waiting for you!"
good,"Hi! i want to know if you could come over today? i have planed to eat tacos."
good,"Hi m8, im outside right now, could you come and open the door? i have a present for you"
spam,"Hello dear sir, I am an nigerian prince and i have a lot of dollars that i need to get to the usa. but i can not open a bank account in the us so i am asking you to help me. you will receive 10000 dollars i you can help me."
good,"do you remember the password to my youtube account?"
spam,"Hey kid Want free nitro? I'm nigerian I'm the prince of trade"
spam,"We have a giveaway in 3 days, we will giveaway 10 free discord nitro subscriptions! sign up here"
spam,"Sir i have a gift for you, but for me to send it will cost $10 so if you pay the shipping fee i will send the gift"
good,"Hi james, me and dad have a gift for you when you come home. i think you will be happy!"
spam,"12 moths discord nitro for only $5, just press this link and login to discord"
good,"me and john will go to the cinema after school today, there is a new movie wi want to watch!"
spam,"Dear Partner; I came across your email contact on Database; Where i was searching for a competent Partner who can handle a lucrative business for me as trustee and manager. I anticipate to read from you soon so I can provide you with more details. Yours Sincerely, Alh. Sambo Dasuki mmxx0684@gmail.com"
spam,"Good Afternoon The only service you'll need to get your internet site to the top level. https://your-marketers.com/ With best regards, We offer the top marketing services you may find on our online shop for making big money in a small business, still not enthusiastic about getting clients?"
spam,"Don't buy traffic for your website until you've seen this first: http://bit.ly/boost-web-traffic-now"
spam,"Hi there Do you want a quick boost in ranks and sales for your setilic.com website? Having a high DA score, always helps Get your setilic.com to have a DA between 50 to 60 points in Moz with us today and rip the benefits of such a great feat. See our offers here: https://www.monkeydigital.co/product/moz-da50-seo-plan/ NEW: https://www.monkeydigital.co/product/ahrefs-dr60/ thank you Mike Osborne support@monkeydigital.co"
spam,"Hello, My Name is Ash and I Run Tech Know Space https://techknowspace.com/ We are your Premium GO-TO Service Centre for All Logic Board & Mainboard Repair When other shops say it can't be fixed WE CAN HELP! ALL iPHONE 8 & NEWER BACK GLASS REPAIR - 1 HOUR Devices We Repair Audio Devices Audio Device Repair Bluetooth Speakers - Headphones - iPod Touch Computers All Computer Repair All Brands & Models - Custom Built - PC & Mac Game Consoles Game Console Repair PS4 - XBox One - Nintendo Switch Laptops All Laptop Repair All Brands & Models - Acer, Asus, Compaq, Dell, HP, Lenovo, Toshiba MacBooks All MacBook Repair All Series & Models - Air, Classic, Pro Phones All Phone Repair All Brands & Models - BlackBerry, Huawei, iPhone, LG, OnePlus, Samsung, Sony Smart Watches Apple Watch Repair Apple Watch - Samsung Gear - Moto 360 Tablets All Tablet Repair All Brands & Models - iPad, Lenovo Yoga, Microsoft Surface, Samsung Tab Drone Repair Call us and tell us your issues today! Toll Free: (888) 938-8893 https://techknowspace.com/ Ash Mansukhani ash@techknowspace.com"
spam,"Looking for more business for your website? We can deliver keyword targeted people precisely for your specific type of business To get info Have a look at: http://bit.ly/webtraffic-foryourniche"
